gene_name,KO_48h-KO_NAV,KO_48h-WT_48h,KO_48h-WT_NAV,KO_DP-KO_NAV,KO_DP-WT_DP,KO_DP-WT_NAV,KO_EE-KO_NAV,KO_EE-WT_EE,KO_EE-WT_NAV,KO_MP-KO_NAV,KO_MP-WT_MP,KO_MP-WT_NAV,KO_NAV-WT_NAV,KO_TE-KO_NAV,KO_TE-WT_NAV,KO_TE-WT_TE,WT_48h-WT_NAV,WT_DP-WT_NAV,WT_EE-WT_NAV,WT_MP-WT_NAV,WT_MP-WT_TE,WT_TE-WT_NAV
Tcf7l1,0.74,1.0,0.169,0.301,0.942,0.916,0.049,0.963,0.333,0.694,0.991,0.99,,0.098,0.5,0.953,0.448,0.801,0.934,0.92,0.837,0.735
Rad18,0.0,1.0,0.0,0.0,0.897,0.001,0.0,0.906,0.057,0.0,0.981,0.0,0.104,0.0,0.0,0.716,0.0,0.011,0.001,0.0,0.407,0.012
B4galnt2,0.798,,0.392,0.339,,0.789,,,0.83,1.0,,0.409,,0.429,0.696,,0.737,0.716,0.704,0.329,,0.933
Nsfl1c,0.208,1.0,0.933,0.237,0.735,0.003,0.241,1.0,0.003,0.243,0.777,0.001,0.217,0.123,0.001,0.539,0.753,0.172,0.006,0.061,0.918,0.12
Nkain3,0.609,,0.823,,,0.525,,,0.325,0.353,,0.328,,0.407,0.596,,0.763,0.241,0.23,,,0.244
Gm19095,,,,,,,,,,1.0,,,,,,,,,,,,
Aif1l,0.166,,0.391,0.235,,0.483,,,0.694,0.715,,0.698,,0.746,0.969,,0.724,0.983,0.743,0.63,,0.939
Dnaaf3,0.483,,0.208,0.297,,0.582,0.918,,0.566,1.0,,0.778,,0.897,0.535,,0.417,0.924,0.428,0.459,,0.384
Myo1g,0.241,0.865,0.507,0.0,0.975,0.0,0.0,1.0,0.0,0.0,0.946,0.0,0.752,0.0,0.0,0.951,0.586,0.0,0.0,0.0,0.512,0.0
Gm11462,,,,,,0.554,,,,0.841,,0.416,,,0.108,,0.918,0.704,,,,
Gm18422,0.456,1.0,0.081,0.811,0.967,0.273,0.295,1.0,0.04,0.557,0.902,0.043,,0.14,0.011,0.836,0.052,0.161,0.134,0.004,0.548,0.098
Gm21895,,,,,,,,,,,,,,,,,,,,,,
Olfr1041-ps1,,,,,,,,,,,,,,,,,,,,,,
Trim55,,,,,,,,,,1.0,,,,,,,,,,,,
Lig4,0.506,1.0,0.228,0.75,0.997,0.422,0.551,1.0,0.254,1.0,0.989,0.575,0.75,0.872,0.519,0.918,0.335,0.454,0.384,0.693,0.76,0.279
Plac8,0.0,0.935,0.18,0.001,0.958,0.0,0.024,1.0,0.0,0.007,0.987,0.0,0.017,0.05,0.0,0.882,0.947,0.0,0.0,0.0,0.72,0.0
Hck,0.842,1.0,0.723,0.0,0.941,0.0,0.0,1.0,0.0,0.0,0.976,0.0,,0.002,0.001,0.703,0.302,0.0,0.0,0.0,0.15,0.0
Sik2,0.97,0.984,0.056,0.645,0.986,0.013,0.473,1.0,0.005,0.884,0.991,0.007,0.126,0.53,0.007,0.73,0.001,0.021,0.019,0.01,0.612,0.145
Olfr1026,,,,,,,,,,1.0,,,,,,,,,,,,
1700011L22Rik,,,,,,,,,,1.0,,,,,,,,,,,,
Gm47225,,,,,,,,,,1.0,,,,,,,,,,,,
Vmn1r-ps114,,,,,,,,,,1.0,,,,,,,,,,,,
Simc1,0.688,1.0,0.927,0.0,0.962,0.0,0.0,1.0,0.0,0.0,0.976,0.0,0.617,0.0,0.0,0.579,0.79,0.0,0.0,0.0,0.388,0.0
Scgb2b28-ps,,,,,,,,,,1.0,,,,,,,,,,,,
A630095N17Rik,0.824,,0.761,0.222,,0.248,0.309,,0.327,0.781,,0.479,,0.204,0.218,,0.809,0.062,0.16,0.498,,0.39
Vmn1r129,,,,,,,,,,,,,,,,,,,,,,
Gm37619,,,,,,,,,,1.0,,,,,,,,,,,,
Gtf2ird2,0.01,1.0,0.022,0.0,0.908,0.0,0.014,1.0,0.024,0.007,0.883,0.007,0.9,0.0,0.0,0.718,0.02,0.002,0.093,0.09,0.551,0.006
Gm5139,,,,,,,,,,1.0,,,,,,,,,,,,
Mycbpap,,,,,,,,,,1.0,,,,,,,,,,,,
Gm21733,,,,,,,,,,,,,,,,,,,,,,
Hs6st1,0.012,1.0,0.042,0.0,0.875,0.0,0.0,1.0,0.0,0.0,0.947,0.0,0.792,0.0,0.0,0.961,0.002,0.0,0.0,0.0,0.93,0.0
Gm7799,0.992,,0.954,0.606,,0.706,,,0.541,0.502,,0.335,,0.487,0.56,,0.89,0.213,0.44,0.306,,0.328
Tgif2-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Bbs7,0.745,1.0,0.947,0.736,0.832,0.355,0.278,1.0,0.076,1.0,0.673,0.303,,0.888,0.757,0.998,0.951,0.964,0.18,0.729,0.74,0.8
Cabs1,,,,,,,,,,,,,,,,,,,,,,
Akap5,0.621,1.0,0.521,0.335,0.959,0.009,0.267,1.0,0.006,0.447,0.998,0.005,0.247,0.13,0.001,0.797,0.264,0.003,0.0,0.005,0.824,0.029
Gm3931,,,,,,,,,,1.0,,,,,,,,,,,,
Banp,0.798,1.0,0.72,0.429,0.955,0.36,0.244,1.0,0.185,0.085,0.937,0.03,0.963,0.4,0.318,0.993,0.523,0.587,0.468,0.128,0.871,0.287
Gm4898,,,,,,,,,,1.0,,,,,,,,,,,,
Mdp1,0.0,1.0,0.003,0.742,0.82,0.423,0.889,1.0,0.311,1.0,0.737,0.224,0.313,0.889,0.312,0.876,0.011,0.939,0.674,0.974,0.791,0.715
Gm10251,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr1352,0.566,1.0,0.987,0.271,,0.654,0.542,1.0,0.971,0.485,,0.636,,0.787,0.804,,0.747,0.978,0.996,0.976,,0.937
Rdh9,0.587,1.0,0.267,0.13,0.813,0.032,0.228,1.0,0.066,0.754,0.997,0.167,,0.427,0.162,0.936,0.103,0.33,0.06,0.165,0.888,0.335
Gm5737,,,,,,,,,,1.0,,,,,,,,,,,,
Gm18984,,,,,,,,,,1.0,,,,,,,,,,,,
Gm44132,,,,,,,,,,1.0,,,,,,,,,,,,
Mup-ps21,,,,,,,,,,,,,,,,,,,,,,
Mrpl16,0.062,1.0,0.0,0.0,0.843,0.0,0.0,1.0,0.0,0.0,0.967,0.0,0.104,0.0,0.0,0.892,0.0,0.0,0.0,0.0,0.402,0.0
Ap1s3,0.874,1.0,0.779,0.592,0.855,0.493,0.481,1.0,0.376,0.625,0.415,0.26,0.945,0.217,0.151,0.758,0.958,0.954,0.982,0.449,0.285,0.677
Cldn2,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr43,,,,,,,,,,1.0,,,,,,,,,,,,
Ryk-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Naglu,0.447,1.0,0.064,0.205,0.82,0.018,0.148,1.0,0.01,0.522,0.969,0.03,,0.338,0.039,0.997,0.007,0.218,0.017,0.01,0.788,0.05
Gm20534,,,,,,,,,,,,,,,,,,,,,,
Gm10193,0.0,0.896,0.071,0.036,0.803,0.715,0.002,1.0,0.679,0.009,0.932,0.864,0.032,0.0,0.396,0.812,0.751,0.586,0.972,0.485,0.63,0.952
Pomp,0.037,0.85,0.322,0.002,0.952,0.0,0.005,1.0,0.0,0.014,0.981,0.0,0.009,0.004,0.0,0.997,0.006,0.0,0.0,0.0,0.708,0.0
Gm48034,,,,,,,,,,,,,,,,,,,,,,
Rpl36-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Mtus1,1.0,1.0,0.001,0.0,0.857,0.495,0.225,0.96,0.068,0.001,0.991,0.925,,0.029,0.398,0.763,0.001,0.981,0.566,0.86,0.12,0.066
Col5a2,,,,,,0.157,,,,1.0,,,,,,,,,,,,
Gm21936,,,,,,,,,,1.0,,,,,,,,,,,,
Mfap1b,0.0,1.0,0.0,0.152,0.882,0.652,0.582,1.0,0.196,0.909,0.759,0.217,0.088,0.978,0.048,0.89,0.0,0.866,0.228,0.994,0.251,0.19
Scgb1c1,,,,,,,,,,,,,,,,,,,,,,
Glis1,0.78,,0.664,0.681,,0.788,,,0.673,1.0,,0.705,,0.872,0.745,,0.802,0.971,0.332,0.352,,0.22
Cux2,0.836,1.0,0.963,0.517,0.949,0.275,0.781,1.0,0.974,1.0,0.996,0.92,,0.641,0.358,0.616,0.912,0.514,0.994,0.965,0.103,0.014
H2-Ab1,0.0,1.0,0.0,0.0,0.974,0.0,0.0,0.75,0.0,0.0,0.864,0.0,0.428,0.0,0.0,0.793,0.0,0.0,0.0,0.0,0.0,0.0
Srxn1,0.978,0.993,0.221,0.003,0.961,0.0,0.0,1.0,0.0,0.0,0.955,0.0,,0.002,0.0,0.993,0.013,0.0,0.0,0.0,0.956,0.0
Epb41l5,0.0,1.0,0.0,0.186,0.813,0.579,0.119,1.0,0.012,0.722,0.441,0.088,0.579,0.496,0.122,0.941,0.0,0.749,0.095,0.835,0.067,0.052
Gm44487,0.755,,0.863,0.469,,0.932,,,0.518,1.0,,0.715,,0.868,0.689,,0.818,0.667,0.98,0.707,,0.657
Vmn2r4,,,,,,,,,,1.0,,,,,,,,,,,,
Fam71e2,,,,,,,,,,1.0,,,,,,,,,,,,
Polr2l,0.035,0.909,0.0,1.0,0.795,0.026,0.528,0.989,0.175,1.0,0.88,0.01,0.067,0.387,0.269,0.756,0.0,0.0,0.013,0.0,0.286,0.031
Gm6760,,,,,,,,,,,,,,,,,,,,,,
Ptp4a3,0.275,1.0,0.503,0.703,0.967,0.974,0.479,1.0,0.728,0.247,0.792,0.271,0.798,0.881,0.583,0.8,0.148,0.796,0.198,0.017,0.0,0.868
Ovca2,0.579,0.437,0.846,0.003,0.841,0.0,0.059,0.599,0.015,0.002,0.921,0.0,0.79,0.024,0.005,0.944,0.058,0.0,0.0,0.0,0.427,0.001
D5Ertd577e,,,,,,,,,,1.0,,,,,,,,,,,,
Camk2n1,0.672,0.982,0.243,0.027,0.98,0.002,0.0,1.0,0.0,0.08,0.986,0.004,,0.0,0.0,0.998,0.977,0.004,0.0,0.002,0.358,0.0
Gm29273,,,,,,,,,,,,,,,,,,,,,,
Adgrg5,0.0,0.875,0.0,0.0,0.773,0.0,0.0,0.856,0.0,0.0,0.947,0.0,0.599,0.0,0.0,0.194,0.0,0.0,0.0,0.0,0.466,0.0
Gm11897,,,,,,,,,,1.0,,,,,,,,,,,,
Vmn2r18,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr59,,,,,,,,,,0.957,,,,,,,,,,,,
Gm10548,0.29,0.794,0.02,0.04,0.816,0.387,0.106,1.0,0.615,0.019,0.594,0.171,,0.01,0.173,0.88,0.643,0.971,0.247,0.829,0.562,0.485
Gpr27,,,,,,,,,,1.0,,,,,,,,,,,,
Cldn22,,,,,,,,,,1.0,,,,,,,,,,,,
Rbm8a2,0.813,1.0,0.532,0.742,0.813,0.525,0.75,1.0,0.135,1.0,0.947,0.194,,0.992,0.306,0.743,0.358,0.802,0.085,0.46,0.729,0.965
Adam30,,,,,,0.149,,,,0.412,,0.147,,,0.148,,0.323,0.369,,,,
Olfr1173,0.829,1.0,0.301,0.039,0.907,0.002,0.674,0.918,0.194,0.821,0.97,0.103,,0.186,0.021,0.992,0.242,0.021,0.005,0.223,0.669,0.031
Gm12794,,,,,,,,,,1.0,,,,,,,,,,,,
Il1r1,,,,,,0.998,,,,0.903,,,,,,,,,,,,
Zfyve28,0.015,1.0,0.308,0.079,0.974,0.596,0.003,0.975,0.097,0.034,0.904,0.275,,0.0,0.004,0.637,0.195,0.766,0.004,0.066,0.877,0.16
Gm884,,,,,,,,,,1.0,,,,,,,,,,,,
Gm4482,,,,,,,,,,1.0,,,,,,,,,,,,
Mrpl38,0.719,1.0,0.783,0.899,0.852,0.518,0.592,1.0,0.849,1.0,0.932,0.716,0.514,0.969,0.454,0.653,0.172,0.92,0.514,0.914,0.919,0.737
Igkv1-99,1.0,1.0,1.0,0.986,0.908,0.988,0.998,1.0,0.998,0.282,0.681,0.142,,1.0,1.0,1.0,1.0,0.588,0.999,1.0,1.0,1.0
Slc16a9,,,,,,,,,,1.0,,,,,,,,,,,,
Defa28,,,,,,,,,,1.0,,,,,,,,,,,,
Gm3159,,,,,,,,,,1.0,,,,,,,,,,,,
Pck2,0.0,1.0,0.0,0.445,0.721,0.74,0.688,1.0,0.077,0.936,0.97,0.624,0.32,0.954,0.269,0.987,0.0,0.372,0.434,0.875,0.692,0.344
Dnajb9,0.0,1.0,0.0,0.0,0.822,0.0,0.0,1.0,0.0,0.0,0.911,0.0,0.35,0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.131,0.0
Gm40853,,,,,,,,,,,,,,,,,,,,,,
Gm11853,,,,,,,,,,1.0,,,,,,,,,,,,
Gm5501,,,,,,,,,,1.0,,,,,,,,,,,,
Pnpla1,0.891,1.0,0.893,0.382,,0.174,0.467,1.0,0.22,1.0,,0.571,,0.159,0.05,,0.623,0.637,0.691,0.987,,0.335
Olfr470,,,,,,,,,,1.0,,,,,,,,,,,,
Gm47452,,,,,,,,,,,,,,,,,,,,,,
Gm14297,,,,,,,,,,,,,,,,,,,,,,
Ptges3l,0.0,1.0,0.033,0.625,0.796,0.565,0.509,0.79,0.041,1.0,0.872,0.201,0.333,0.916,0.307,0.905,0.001,0.084,0.701,0.725,0.453,0.126
Gm11262,,,,,,,,,,1.0,,,,,,,,,,,,
Cyp7a1,,,,,,,,,,1.0,,,,,,,,,,,,
Ndst1,0.54,1.0,0.448,0.623,0.943,0.31,0.248,1.0,0.739,0.469,0.978,0.711,0.17,0.317,0.637,1.0,0.294,0.59,0.512,0.551,0.953,0.645
Rpl21-ps5,,,,,,,,,,1.0,,,,,,,,,,,,
Gm47984,,,,,,,,,,,,,,,,,,,,,,
Gm17980,,,,,,,,,,1.0,,,,,,,,,,,,
Npnt,0.9,1.0,0.401,0.226,0.793,0.952,0.131,0.984,0.755,0.045,0.997,0.337,,0.681,0.549,0.596,0.092,0.275,0.179,0.378,0.924,0.56
Aurkaip1,0.041,0.896,0.964,0.005,1.0,0.0,0.15,0.953,0.0,0.019,0.989,0.0,0.071,0.145,0.0,0.95,0.157,0.0,0.0,0.0,0.476,0.0
Hspb2,,,,,,,,,,1.0,,,,,,,,,,,,
Spink7,,,,,,,,,,1.0,,,,,,,,,,,,
Llgl2,0.0,1.0,0.0,0.535,0.842,0.496,0.648,1.0,0.593,0.703,0.934,0.352,0.992,0.518,0.458,0.922,0.0,0.108,0.567,0.13,0.915,0.246
Hmga2,0.879,1.0,0.431,0.443,0.995,0.884,0.44,1.0,0.864,1.0,0.996,0.83,,0.705,0.883,0.891,0.56,0.919,0.719,0.796,0.734,0.769
Gm4811,0.811,0.286,0.007,0.907,0.007,0.001,0.894,0.024,0.004,1.0,0.211,0.001,,0.476,0.029,,0.954,0.702,0.676,0.641,0.375,0.697
Gm13915,,,,,,,,,,1.0,,,,,,,,,,,,
Sobp,,,,,,,,,,1.0,,,,,,,,,,,,
Dennd3,0.223,1.0,0.617,0.127,0.93,0.422,0.72,1.0,0.846,0.431,0.915,0.611,0.621,0.128,0.404,0.735,0.739,0.772,0.792,0.942,0.994,0.923
Vmn1r18,,,,,,,,,,1.0,,,,,,,,,,,,
Gm21184,,,,,,,,,,,,,,,,,,,,,,
Gm29432,,,,,,,,,,,,,,,,,,,,,,
Rest,0.18,1.0,0.031,0.291,0.779,0.068,0.685,1.0,0.263,1.0,0.894,0.262,0.641,0.943,0.628,0.995,0.01,0.597,0.581,0.045,0.363,0.698
9530077C05Rik,0.0,1.0,0.0,0.0,0.92,0.001,0.0,1.0,0.002,0.0,0.94,0.0,,0.0,0.001,0.981,0.0,0.0,0.001,0.0,0.941,0.001
1500009L16Rik,0.0,1.0,0.0,0.0,0.95,0.0,0.0,1.0,0.0,0.0,0.976,0.0,0.941,0.0,0.0,0.963,0.0,0.0,0.0,0.0,0.001,0.0
Strbp,0.064,1.0,0.727,0.11,0.988,0.001,0.205,1.0,0.004,0.83,0.981,0.023,0.261,0.167,0.002,0.446,0.994,0.002,0.009,0.045,0.024,0.0
Olfr1219,0.5,,0.334,,,0.233,,,0.321,0.685,,0.235,,0.631,0.429,,0.886,0.235,0.226,,,0.353
Gm5253,,,,,,,,,,1.0,,,,,,,,,,,,
Tbccd1,1.0,1.0,0.295,0.684,0.409,0.105,0.015,1.0,0.0,1.0,0.996,0.239,0.372,0.225,0.01,0.58,0.09,0.723,0.004,0.224,0.935,0.346
Cst8,,,,,,,,,,1.0,,,,,,,,,,,,
Gm6921,,,,,,0.564,,,,1.0,,0.314,,,0.318,,0.752,0.319,,,,
Gm6059,,,,,,,,,,1.0,,,,,,,,,,,,
1700086D15Rik,,,,,,,,,,,,,,,,,,,,,,
Ubxn2b,0.0,0.443,0.023,0.005,0.515,0.0,0.007,0.676,0.0,0.001,0.982,0.0,0.327,0.0,0.0,0.148,0.993,0.0,0.0,0.0,0.004,0.0
Abca8b,0.289,,0.176,0.54,,0.38,0.038,,0.016,0.628,,0.216,,0.335,0.201,,0.35,0.047,0.913,0.691,,0.092
St8sia5,,,,,,,,,,1.0,,,,,,,,,,,,
Gltp,0.0,1.0,0.0,0.543,0.788,0.015,0.976,1.0,0.117,1.0,0.782,0.023,0.175,0.579,0.017,0.77,0.0,0.267,0.092,0.363,0.866,0.189
Zfp956,0.402,1.0,0.017,0.12,0.86,0.002,0.318,0.926,0.871,1.0,0.841,0.064,0.294,0.984,0.187,0.827,0.004,0.031,0.136,0.002,0.767,0.029
Gm4981,,,,,,,,,,1.0,,,,,,,,,,,,
Magee2,,,,,,0.363,,,,1.0,,0.883,,,0.655,,0.854,0.992,,,,
Gpc3,,,,,,,,,,1.0,,,,,,,,,,,,
Vmn1r159,,,,,,,,,,1.0,,,,,,,,,,,,
Gm2796,,,,,,,,,,1.0,,,,,,,,,,,,
Dnah17,0.883,1.0,0.467,0.537,0.97,0.198,0.612,1.0,0.235,1.0,0.97,0.356,,0.516,0.177,0.918,0.13,0.117,0.169,0.206,0.892,0.4
Btaf1,0.058,1.0,0.793,0.527,0.946,0.466,0.151,0.767,0.998,0.264,0.849,1.0,0.209,0.406,0.61,0.904,0.236,0.248,0.107,0.385,0.955,0.312
Tagln3,1.0,,0.514,0.383,,0.083,0.986,,0.513,1.0,,0.784,,0.973,0.526,,0.154,0.488,0.374,0.711,,0.463
Usp2,0.617,1.0,0.964,0.334,0.747,0.794,0.103,0.674,0.375,0.003,0.984,0.02,,0.131,0.434,0.525,0.542,0.112,0.004,0.013,0.975,0.014
Mrps33,0.555,1.0,0.024,0.033,0.872,0.436,0.019,0.968,0.576,0.089,0.849,0.366,0.013,0.018,0.581,0.702,0.002,0.111,0.078,0.052,0.908,0.085
Vmn2r-ps41,,,,,,,,,,1.0,,,,,,,,,,,,
Ptpru,0.76,,0.466,0.585,,0.883,,,0.181,0.927,,0.281,,0.86,0.888,,0.526,0.887,0.215,0.667,,0.887
Gm19124,,,,,,,,,,,,,,,,,,,,,,
Gm14900,,,,,,,,,,1.0,,,,,,,,,,,,
Gm15753,0.241,1.0,0.872,0.008,0.743,0.0,0.057,1.0,0.002,0.003,0.918,0.0,,0.0,0.0,0.708,0.882,0.017,0.0,0.0,0.987,0.0
Scel,,,,,,,,,,1.0,,,,,,,,,,,,
Lysmd4,0.0,0.993,0.018,0.0,0.492,0.0,0.006,1.0,0.151,0.01,0.964,0.137,,0.003,0.099,0.78,0.321,0.095,0.251,0.314,0.91,0.505
Ate1,0.26,1.0,0.002,0.188,0.805,0.001,0.916,1.0,0.127,1.0,0.955,0.073,0.158,0.959,0.074,0.956,0.001,0.041,0.025,0.021,0.955,0.036
Gm28951,,,,,,,,,,,,,,,,,,,,,,
Kctd5,0.612,1.0,0.676,0.195,0.949,0.006,0.544,1.0,0.05,0.014,0.763,0.0,0.344,0.284,0.013,0.905,0.333,0.027,0.006,0.007,0.711,0.062
Slc30a5,0.103,1.0,0.849,0.775,0.721,0.111,0.841,1.0,0.021,1.0,0.967,0.144,0.097,0.7,0.15,0.944,0.81,0.862,0.028,0.307,0.997,0.299
Gm13812,,,,,,,,,,1.0,,,,,,,,,,,,
Atg4d,0.002,1.0,0.023,0.049,0.788,0.004,0.333,1.0,0.069,0.614,0.771,0.073,0.607,0.001,0.0,0.611,0.003,0.135,0.356,0.661,0.137,0.011
Vcp-rs,0.449,,0.655,0.91,,0.197,0.794,,0.067,1.0,,0.412,,0.306,0.774,,0.968,0.444,0.791,0.285,,0.647
Gm4825,,,,,,,,,,0.884,,,,,,,,,,,,
Igkv3-1,1.0,1.0,1.0,0.188,1.0,0.18,0.574,1.0,0.547,0.032,0.958,0.015,,0.874,0.855,0.999,1.0,0.187,0.802,0.003,0.183,0.835
Ighv1-41,,,,,,0.04,,,,1.0,,1.0,,,1.0,,1.0,1.0,,,,
Trp53i11,0.686,0.716,0.214,0.005,0.865,0.0,0.006,0.975,0.0,0.034,0.681,0.001,0.576,0.045,0.003,0.725,0.744,0.005,0.015,0.113,0.96,0.087
Gm3375,0.46,1.0,0.394,0.424,0.104,0.003,0.546,0.155,0.007,0.711,0.108,0.003,0.114,0.518,0.005,0.077,1.0,1.0,0.996,0.992,0.183,0.996
Gm28553,,,,,,,,,,,,,,,,,,,,,,
Ccdc151,,,,,,0.794,,,,1.0,,,,,,,,,,,,
Gm8617,,,,,,,,,,1.0,,,,,,,,,,,,
Gm17893,,,,,,,,,,1.0,,,,,,,,,,,,
Rhox1,,,,,,,,,,1.0,,,,,,,,,,,,
Iglj3,1.0,1.0,1.0,0.0,0.996,0.0,0.129,0.926,0.086,0.0,0.914,0.0,,0.088,0.055,0.798,1.0,0.0,0.001,0.0,0.768,0.004
Sqstm1,0.003,1.0,0.085,0.003,0.976,0.07,0.141,1.0,0.668,0.002,0.964,0.031,0.425,0.304,0.949,0.564,0.05,0.044,0.4,0.009,0.612,0.133
Poc1a,0.0,1.0,0.0,0.0,0.815,0.0,0.0,1.0,0.0,0.0,0.929,0.0,0.033,0.0,0.0,0.682,0.0,0.0,0.0,0.0,0.282,0.0
Olfr573-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Zc4h2,0.769,1.0,0.839,0.121,0.667,0.087,0.692,1.0,0.585,1.0,0.921,0.997,,0.757,0.647,0.994,0.729,0.869,0.993,0.579,0.943,0.719
Gm29394,0.402,1.0,0.279,0.27,0.989,0.349,0.135,1.0,0.175,1.0,0.78,0.899,,0.113,0.148,0.587,0.693,0.32,0.046,0.189,0.473,0.967
Gm15244,,,,,,,,,,,,,,,,,,,,,,
Sap18b,0.001,0.989,0.926,0.715,0.962,0.004,0.291,0.953,0.046,0.988,0.934,0.008,0.009,0.34,0.034,0.674,0.215,0.001,0.001,0.001,0.893,0.0
Ppp1ca,0.0,1.0,0.05,0.014,0.723,0.0,0.02,1.0,0.0,0.03,0.834,0.0,0.235,0.011,0.0,0.646,0.256,0.01,0.0,0.003,0.977,0.005
5530400C23Rik,,,,,,,,,,,,,,,,,,,,,,
Rps2-ps2,0.867,,0.409,,,0.474,,,0.772,0.374,,0.566,,0.205,0.56,,0.688,0.816,0.954,,,0.58
Gm28144,,,,,,,,,,,,,,,,,,,,,,
Uap1l1,0.274,0.72,0.976,0.0,0.914,0.015,0.002,1.0,0.068,0.018,0.976,0.182,0.359,0.006,0.138,0.587,0.092,0.085,0.083,0.102,0.311,0.952
AU015228,,,,,,,,,,1.0,,,,,,,,,,,,
Gm42795,,,,,,,,,,,,,,,,,,,,,,
Dtx2,0.002,1.0,0.005,0.009,0.825,0.015,0.0,1.0,0.0,0.01,0.959,0.008,0.915,0.004,0.007,0.699,0.009,0.189,0.011,0.032,0.799,0.167
Gm11677,,,,,,,,,,1.0,,,,,,,,,,,,
1700067K01Rik,0.906,1.0,0.971,0.884,,0.961,0.738,1.0,0.804,1.0,,0.791,,0.879,0.944,,1.0,0.624,0.635,0.831,,0.858
Klhl4,,,,,,0.381,,,,0.494,,,,,,,,,,,,
Tor4a,0.635,1.0,0.421,0.001,0.995,0.003,0.0,1.0,0.001,0.009,0.909,0.011,0.854,0.001,0.002,0.979,0.121,0.004,0.007,0.092,0.535,0.005
Gm8274,,,,,,0.958,,,,0.911,,0.801,,,0.694,,0.464,0.97,,,,
Entpd2,,,,,,0.295,,,,0.923,,0.647,,,0.889,,0.792,0.894,,,,
Apex2,0.029,0.857,0.012,0.142,0.903,0.074,0.074,1.0,0.032,0.19,0.999,0.047,0.895,0.022,0.007,0.743,0.424,0.012,0.043,0.051,0.263,0.0
Gm21282,,,,,,,,,,,,,,,,,,,,,,
Noc2l,0.0,1.0,0.001,0.0,0.868,0.0,0.0,1.0,0.0,0.0,0.992,0.0,0.731,0.0,0.0,0.781,0.009,0.0,0.0,0.0,0.38,0.0
Calhm5,,,,,,,,,,1.0,,,,,,,,,,,,
4930516K23Rik,0.552,1.0,0.254,0.299,0.979,0.108,0.436,1.0,0.175,0.29,0.841,0.043,,0.168,0.046,1.0,0.23,0.165,0.132,0.374,0.557,0.049
Gm19935,,,,,,,,,,1.0,,,,,,,,,,,,
Gm29024,,,,,,,,,,,,,,,,,,,,,,
Trex2,,,,,,,,,,,,,,,,,,,,,,
Ecsit,0.887,1.0,0.665,0.684,0.648,0.217,0.825,1.0,0.666,0.992,0.843,0.164,0.564,0.994,0.452,0.847,0.698,0.003,0.29,0.012,0.658,0.143
Vmn1r-ps31,,,,,,,,,,1.0,,,,,,,,,,,,
Cbx3-ps5,,,,,,,,,,1.0,,,,,,,,,,,,
Gm48472,,,,,,,,,,1.0,,,,,,,,,,,,
Gm28341,,,,,,,,,,1.0,,,,,,,,,,,,
Snap29,0.023,1.0,0.369,0.041,0.971,0.0,0.039,1.0,0.0,0.314,0.997,0.005,0.345,0.004,0.0,0.944,0.119,0.0,0.0,0.006,0.52,0.0
Tk1,0.0,1.0,0.0,0.0,0.788,0.0,0.0,1.0,0.0,0.0,0.964,0.0,0.08,0.0,0.0,0.831,0.0,0.0,0.0,0.0,0.395,0.0
Gm45315,0.893,1.0,0.9,0.661,0.991,0.666,0.803,1.0,0.804,1.0,0.93,0.668,,0.859,0.856,,0.958,0.728,0.985,0.943,,0.749
Gm21378,,,,,,,,,,1.0,,,,,,,,,,,,
Furin,0.0,1.0,0.0,0.788,0.842,0.041,0.803,1.0,0.042,1.0,0.435,0.083,0.167,0.374,0.005,0.628,0.0,0.309,0.224,0.843,0.166,0.192
Ighv14-4,1.0,1.0,1.0,0.919,0.986,0.918,0.983,1.0,0.981,0.578,0.927,0.301,,1.0,1.0,0.878,1.0,0.845,0.672,0.707,0.984,0.608
Cln6,0.561,1.0,0.309,0.942,0.989,0.809,0.365,1.0,0.582,0.477,0.971,0.455,0.803,0.252,0.432,0.996,0.691,0.883,0.423,0.696,0.915,0.494
Zdhhc4,0.023,1.0,0.069,0.475,0.828,0.254,0.249,1.0,0.103,0.36,0.785,0.077,0.808,0.329,0.148,0.754,0.161,0.849,0.18,0.629,0.979,0.677
Gm10800,0.017,1.0,0.012,0.828,0.913,0.892,0.706,1.0,0.754,1.0,0.681,0.96,0.966,0.164,0.182,0.795,0.005,0.745,0.955,0.168,0.174,0.673
Gm12368,,,,,,,,,,,,,,,,,,,,,,
H2afz,0.028,0.648,0.0,0.0,0.974,0.0,0.0,1.0,0.0,0.0,0.994,0.0,0.03,0.0,0.0,0.687,0.0,0.0,0.0,0.0,0.513,0.0
Gm13884,,,,,,,,,,1.0,,,,,,,,,,,,
Selplg,0.004,0.089,0.006,0.0,0.875,0.0,0.0,1.0,0.0,0.0,0.619,0.0,0.968,0.0,0.0,0.469,0.0,0.0,0.0,0.001,0.31,0.0
Gm37029,,,,,,,,,,,,,,,,,,,,,,
