ChIP_combination,ChIP,sc_P3_cl13_up,sc_d8_arm_up,sc_P3_arm_up,sc_P2_arm_up,sc_P4_arm_up,sc_P9_arm_up,sc_all,d5_KLRG1lo_Runx3_repressed,nascent_48h_up,sc_P4_cl13_up,sc_P7_cl13_up,sc_P7_arm_up,d5_KLRG1lo_Runx3_promoted,d5_KLRG1lo_all,d5_KLRG1hi_all,nascent_Il2_repressed,nascent_48h_dn,sc_P9_cl13_up,sc_P5_cl13_up,sc_P6_arm_up,sc_P5_arm_up,nascent_all,nascent_Il2_promoted,sc_d5_arm_up,sc_d8_cl13_up,d5_KLRG1hi_Runx3_repressed,d5_KLRG1hi_Runx3_promoted,sc_d5_cl13_up,sc_P6_cl13_up,sc_P2_cl13_up
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.407,0.5922,0.6227,0.6106,0.5497,0.5625,0.3629,0.4316,0.6113,0.4273,0.6794,0.5211,0.8,0.4632,0.4112,0.4112,0.4927,0.4962,0.5316,0.6715,0.5178,0.5437,0.4226,0.4654,0.4701,0.4184,0.4559,0.5314,0.574,0.6506,0.6364
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.3283,0.483,0.5328,0.4774,0.4768,0.4476,0.303,0.359,0.5383,0.3418,0.5271,0.3869,0.7727,0.3348,0.3318,0.3318,0.4256,0.4489,0.3896,0.5735,0.407,0.4403,0.3468,0.4086,0.4029,0.344,0.386,0.4358,0.4578,0.5114,0.5
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2017_PNAS_Li___STAT5B_IL2-CD8,0.2459,0.3879,0.3222,0.3393,0.3636,0.3579,0.1996,0.2438,0.4183,0.2705,0.4677,0.3712,0.5349,0.2586,0.2452,0.2452,0.31,0.2556,0.25,0.5135,0.2683,0.3615,0.249,0.3837,0.2555,0.2238,0.2373,0.2864,0.3472,0.5124,0.5238
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.1848,0.3091,0.2683,0.2949,0.2388,0.2887,0.2,0.186,0.3442,0.1919,0.392,0.2836,0.4773,0.2187,0.1853,0.1853,0.2725,0.2047,0.2462,0.4084,0.2195,0.2837,0.1858,0.2222,0.1887,0.1689,0.1961,0.2065,0.2728,0.3843,0.3953
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.2712,0.4226,0.4487,0.4045,0.3812,0.3889,0.2648,0.3111,0.3715,0.3198,0.4275,0.3169,0.4545,0.3164,0.2755,0.2755,0.2988,0.3543,0.3026,0.4559,0.3547,0.3774,0.2952,0.3719,0.3496,0.3086,0.2466,0.445,0.3902,0.403,0.4651
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.0853,0.1431,0.1414,0.1835,0.1343,0.1474,0.0785,0.0885,0.1707,0.0814,0.1984,0.1429,0.2273,0.099,0.0866,0.0866,0.1392,0.1022,0.1385,0.1923,0.1289,0.1878,0.086,0.0971,0.106,0.073,0.1136,0.0885,0.1295,0.2241,0.1818
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.4386,0.6651,0.6765,0.678,0.6369,0.646,0.3997,0.4759,0.656,0.4632,0.7333,0.5764,0.9318,0.5379,0.4415,0.4415,0.5674,0.5496,0.6279,0.7703,0.6011,0.6134,0.4608,0.5423,0.5294,0.476,0.5087,0.5834,0.6235,0.7263,0.6875
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.4254,0.5796,0.6478,0.5936,0.5519,0.5545,0.3888,0.4609,0.6393,0.433,0.6324,0.5347,0.907,0.4834,0.4284,0.4284,0.537,0.5519,0.5233,0.6538,0.5067,0.5576,0.4476,0.532,0.5115,0.4557,0.491,0.5385,0.5741,0.6223,0.6957
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.4624,0.6961,0.679,0.6773,0.6159,0.6134,0.4274,0.4974,0.6757,0.5015,0.773,0.6776,0.9318,0.5541,0.4657,0.4657,0.5778,0.5517,0.6374,0.782,0.5955,0.6341,0.4835,0.5735,0.5435,0.5045,0.5197,0.5945,0.6414,0.7352,0.7143
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.025,0.0337,0.0327,0.0359,0.0185,0.0253,0.0228,0.0248,0.0387,0.028,0.0485,0.0463,0.0513,0.0222,0.0261,0.0261,0.0322,0.03,0.0,0.0464,0.0325,0.0227,0.0269,0.0283,0.035,0.0225,0.0272,0.0366,0.0313,0.05,0.0769
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.3519,0.4665,0.5269,0.4844,0.4923,0.4301,0.3263,0.3693,0.5165,0.3458,0.4298,0.3659,0.8537,0.3669,0.3546,0.3546,0.4391,0.4463,0.4203,0.4884,0.4375,0.4978,0.3642,0.4394,0.4192,0.3562,0.4048,0.4253,0.4446,0.4818,0.4286
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.2023,0.2716,0.3207,0.2639,0.3571,0.3171,0.2038,0.2027,0.375,0.2001,0.3333,0.2035,0.4359,0.168,0.2018,0.2018,0.2795,0.2375,0.1207,0.2946,0.2383,0.2597,0.2012,0.2086,0.2005,0.1674,0.2402,0.2127,0.2597,0.2825,0.2821
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0395,0.0484,0.0406,0.033,0.0648,0.0125,0.0256,0.031,0.0589,0.0299,0.0388,0.0463,0.0,0.0264,0.0376,0.0376,0.0323,0.0354,0.0,0.0422,0.0241,0.0341,0.0369,0.0347,0.0278,0.0291,0.0445,0.0221,0.042,0.0364,0.0513
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.3946,0.5996,0.5685,0.5724,0.529,0.5784,0.3506,0.4063,0.5802,0.4057,0.7241,0.4809,0.8333,0.4414,0.3986,0.3986,0.4881,0.4634,0.4737,0.6808,0.4885,0.5143,0.4038,0.4657,0.4357,0.3924,0.4299,0.4937,0.5272,0.6537,0.6047
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.3248,0.4908,0.5072,0.4612,0.4388,0.4375,0.3016,0.3484,0.5089,0.3411,0.5391,0.3884,0.8049,0.3418,0.3278,0.3278,0.4056,0.4204,0.4,0.5837,0.4044,0.4253,0.3398,0.4216,0.3824,0.3388,0.3762,0.4144,0.4415,0.5079,0.4318
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2017_PNAS_Li___STAT5B_IL2-CD8,0.2732,0.3884,0.3479,0.3545,0.4144,0.3855,0.2288,0.2676,0.4329,0.298,0.4727,0.3947,0.55,0.2681,0.2729,0.2729,0.3342,0.2872,0.2881,0.502,0.2812,0.371,0.275,0.3852,0.2716,0.2495,0.2623,0.3028,0.3674,0.4766,0.525
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.214,0.3217,0.3011,0.3121,0.2544,0.3214,0.2397,0.214,0.3695,0.2287,0.4528,0.3158,0.525,0.2387,0.2147,0.2147,0.2873,0.233,0.2857,0.4204,0.2314,0.3169,0.2144,0.2376,0.1988,0.1926,0.2201,0.2349,0.2991,0.4107,0.425
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.2479,0.3979,0.4081,0.3865,0.32,0.3878,0.2314,0.2765,0.3602,0.28,0.4274,0.3306,0.4634,0.2977,0.2525,0.2525,0.2827,0.3246,0.3043,0.4313,0.3206,0.3632,0.2664,0.3254,0.3023,0.2678,0.2456,0.3842,0.3544,0.3672,0.4286
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.1022,0.158,0.1692,0.1971,0.1622,0.1728,0.0938,0.1051,0.1891,0.0972,0.2358,0.1712,0.25,0.116,0.1033,0.1033,0.1478,0.123,0.1607,0.2092,0.1474,0.2044,0.1028,0.1079,0.114,0.0865,0.1255,0.1061,0.1473,0.2432,0.1951
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.4104,0.6321,0.6211,0.6392,0.6138,0.5926,0.3851,0.4307,0.6208,0.4315,0.6719,0.5414,0.9286,0.4931,0.4126,0.4126,0.5538,0.4874,0.5783,0.7518,0.5722,0.5896,0.4254,0.5181,0.4816,0.4237,0.4728,0.5129,0.564,0.7197,0.625
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.389,0.5697,0.5672,0.5546,0.5211,0.5096,0.367,0.4104,0.5765,0.3981,0.5659,0.4962,0.8571,0.4345,0.3899,0.3899,0.5186,0.4778,0.5062,0.6318,0.5029,0.5118,0.4043,0.5075,0.467,0.4056,0.4476,0.4747,0.5141,0.618,0.6304
2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.4135,0.6678,0.5902,0.6143,0.5513,0.5478,0.3779,0.4315,0.623,0.4404,0.7293,0.6181,0.8837,0.4974,0.415,0.415,0.547,0.4763,0.5556,0.7643,0.5524,0.5725,0.4265,0.5376,0.4786,0.4339,0.4618,0.517,0.5666,0.7046,0.6531
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.0188,0.0214,0.0333,0.0308,0.0115,0.0182,0.0162,0.0174,0.0308,0.0203,0.0417,0.0317,0.0541,0.026,0.0196,0.0196,0.0206,0.0236,0.0,0.0395,0.023,0.0247,0.0201,0.0291,0.0295,0.0142,0.0208,0.0275,0.0221,0.0397,0.0435
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.0259,0.0382,0.0347,0.0367,0.0,0.0,0.0161,0.0256,0.0394,0.03,0.05,0.0645,0.0556,0.0163,0.0276,0.0276,0.0466,0.0361,0.0,0.0488,0.0533,0.0345,0.0291,0.0175,0.0276,0.0264,0.042,0.0386,0.0448,0.0405,0.0
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0248,0.0238,0.0645,0.0,0.0,0.0,0.0,0.0188,0.0339,0.0091,0.125,0.1111,0.0,0.0,0.0268,0.0268,0.0196,0.0325,0.0,0.05,0.0,0.0,0.028,0.04,0.0,0.0076,0.0364,0.0154,0.038,0.0556,0.0
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.0192,0.0313,0.0321,0.0319,0.0096,0.012,0.0132,0.0184,0.0355,0.0208,0.0408,0.046,0.0526,0.0195,0.0197,0.0197,0.0209,0.0242,0.0,0.0446,0.0256,0.0253,0.0205,0.0214,0.0274,0.0152,0.0244,0.0281,0.0247,0.0435,0.0645
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.0171,0.0228,0.0254,0.0327,0.0108,0.0339,0.0145,0.0167,0.0307,0.0175,0.0128,0.0156,0.0571,0.0249,0.0175,0.0175,0.0251,0.0202,0.0,0.0284,0.0294,0.028,0.0185,0.0195,0.0249,0.0143,0.0157,0.0241,0.0213,0.024,0.0385
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2017_PNAS_Li___STAT5B_IL2-CD8,0.0281,0.0568,0.0407,0.0411,0.02,0.027,0.0255,0.0293,0.0399,0.0301,0.0667,0.0566,0.087,0.0319,0.0304,0.0304,0.028,0.0357,0.0,0.0741,0.0588,0.0482,0.0317,0.0275,0.0328,0.0311,0.0297,0.0512,0.0417,0.0615,0.087
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.034,0.0556,0.0405,0.0462,0.0,0.0,0.0149,0.0348,0.0532,0.0295,0.0566,0.0682,0.0435,0.0323,0.0355,0.0355,0.0389,0.0447,0.0,0.0609,0.0133,0.0139,0.0364,0.0335,0.0288,0.033,0.0567,0.0532,0.0522,0.0594,0.1053
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.0144,0.0215,0.0281,0.0407,0.011,0.0172,0.0146,0.0151,0.025,0.0156,0.0,0.0164,0.0952,0.0173,0.0146,0.0146,0.0192,0.0213,0.0,0.0276,0.0243,0.0342,0.0163,0.0191,0.0221,0.0126,0.0171,0.0221,0.0187,0.0144,0.0435
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.0224,0.0408,0.0335,0.0471,0.0455,0.0588,0.0469,0.0254,0.0265,0.0265,0.0645,0.0385,0.1818,0.0241,0.0237,0.0237,0.0207,0.0198,0.0,0.05,0.0204,0.0417,0.0264,0.0256,0.0255,0.0203,0.0226,0.0612,0.035,0.0469,0.0
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.0175,0.0256,0.0292,0.0296,0.0079,0.0215,0.0157,0.017,0.0272,0.0204,0.0357,0.0408,0.0476,0.0253,0.0182,0.0182,0.0224,0.02,0.0,0.0367,0.025,0.0267,0.0191,0.0269,0.028,0.0146,0.0187,0.0265,0.0224,0.0381,0.05
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.0175,0.0279,0.0279,0.0298,0.0092,0.0127,0.0149,0.0166,0.0293,0.0213,0.04,0.0435,0.0513,0.0261,0.018,0.018,0.0208,0.0204,0.0,0.0415,0.0286,0.0286,0.0189,0.0249,0.0286,0.0145,0.0157,0.0282,0.0208,0.0421,0.0833
2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.0162,0.0273,0.0282,0.0283,0.0074,0.01,0.0174,0.0158,0.0257,0.0184,0.0394,0.04,0.0476,0.0206,0.0168,0.0168,0.0209,0.0197,0.0,0.0388,0.0222,0.0231,0.0178,0.0244,0.0237,0.0133,0.0169,0.0268,0.022,0.0385,0.0714
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.1448,0.2164,0.2474,0.2254,0.3,0.2029,0.1179,0.1461,0.2912,0.1397,0.2442,0.1892,0.4595,0.1302,0.1444,0.1444,0.2193,0.1769,0.1277,0.2265,0.1826,0.237,0.1452,0.1879,0.1614,0.1207,0.1746,0.1731,0.2035,0.2114,0.1429
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0238,0.0365,0.0386,0.0382,0.0814,0.0182,0.0163,0.0225,0.0601,0.021,0.0278,0.0317,0.0,0.0342,0.0236,0.0236,0.0303,0.0231,0.0,0.0261,0.0372,0.0435,0.022,0.0322,0.0259,0.0194,0.0372,0.0194,0.036,0.0132,0.0
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.4421,0.5579,0.5989,0.5516,0.4766,0.4945,0.3859,0.4617,0.5805,0.4262,0.4911,0.5052,0.7857,0.4907,0.4455,0.4455,0.5362,0.5277,0.4706,0.5845,0.4862,0.5322,0.4531,0.5128,0.5152,0.4515,0.4687,0.5248,0.5399,0.5811,0.4571
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.3823,0.4831,0.5758,0.526,0.5478,0.5694,0.3613,0.4091,0.5539,0.3689,0.4845,0.4458,0.8462,0.4104,0.386,0.386,0.4579,0.4839,0.4576,0.5463,0.4964,0.5126,0.3947,0.4686,0.472,0.3798,0.4194,0.4662,0.4909,0.5612,0.4062
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT---2017_PNAS_Li___STAT5B_IL2-CD8,0.1782,0.2888,0.2799,0.2725,0.2857,0.3043,0.1413,0.1799,0.3502,0.1877,0.3163,0.3214,0.5,0.1834,0.1792,0.1792,0.272,0.2084,0.2308,0.3445,0.2033,0.2819,0.1823,0.2674,0.1889,0.158,0.1863,0.2072,0.2608,0.365,0.3438
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.1413,0.2417,0.2327,0.247,0.1863,0.2464,0.1335,0.1393,0.3065,0.1333,0.2737,0.2289,0.5128,0.1451,0.1406,0.1406,0.2443,0.1713,0.1765,0.303,0.1557,0.2204,0.1402,0.1822,0.1387,0.1172,0.156,0.1729,0.2124,0.3081,0.3448
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.3098,0.3607,0.4701,0.4414,0.3538,0.4231,0.2966,0.3299,0.3935,0.2995,0.3137,0.3448,0.5263,0.3633,0.3152,0.3152,0.3048,0.3897,0.3684,0.3835,0.3993,0.4252,0.3238,0.3737,0.4007,0.3179,0.2994,0.4132,0.3678,0.38,0.2353
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.0897,0.1561,0.1432,0.183,0.1505,0.1667,0.0807,0.0876,0.1761,0.0829,0.1951,0.1714,0.2308,0.0958,0.0886,0.0886,0.1573,0.0995,0.2045,0.2134,0.1228,0.1724,0.0878,0.1164,0.102,0.0679,0.1133,0.1005,0.1275,0.2393,0.3478
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.4518,0.5167,0.6173,0.5776,0.5362,0.47,0.3981,0.4599,0.5735,0.4168,0.4597,0.4537,0.881,0.4528,0.4537,0.4537,0.5259,0.5375,0.5063,0.5294,0.5127,0.565,0.4637,0.5047,0.5212,0.441,0.4835,0.5018,0.5099,0.5323,0.5
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.471,0.5634,0.6338,0.6366,0.6581,0.5904,0.441,0.4789,0.6162,0.441,0.5505,0.495,0.9,0.4497,0.4717,0.4717,0.5503,0.5444,0.5942,0.5947,0.5535,0.6087,0.4817,0.5135,0.5547,0.4494,0.4926,0.5011,0.5471,0.5911,0.5833
2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.4429,0.5257,0.5972,0.5672,0.5172,0.4571,0.3947,0.4552,0.5609,0.4189,0.5038,0.4122,0.8372,0.427,0.4459,0.4459,0.5005,0.526,0.4713,0.5303,0.4896,0.5613,0.4546,0.4933,0.5177,0.4406,0.4615,0.4881,0.5152,0.5056,0.5
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.1145,0.1486,0.097,0.0882,0.1591,0.0333,0.0696,0.0952,0.1273,0.0964,0.0789,0.1786,0.0,0.0982,0.1085,0.1085,0.0701,0.0922,0.0,0.1184,0.1111,0.1071,0.1037,0.0968,0.0948,0.1056,0.1261,0.0692,0.1159,0.1212,0.1818
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.1609,0.2444,0.2416,0.2128,0.2895,0.2333,0.125,0.1552,0.3163,0.1607,0.2885,0.1753,0.4474,0.1455,0.159,0.159,0.2529,0.1819,0.0984,0.2791,0.2035,0.2244,0.1592,0.1935,0.152,0.1297,0.1884,0.1695,0.2239,0.2488,0.2059
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.1578,0.2494,0.2471,0.23,0.271,0.2222,0.1175,0.1579,0.3186,0.1629,0.3059,0.1139,0.4444,0.1579,0.1568,0.1568,0.2427,0.1903,0.1042,0.276,0.2026,0.2745,0.1595,0.2012,0.1723,0.1291,0.1961,0.1714,0.2162,0.2486,0.1667
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8---2017_PNAS_Li___STAT5B_IL2-CD8,0.2179,0.3226,0.3024,0.3022,0.3676,0.3265,0.1826,0.2184,0.3341,0.2301,0.4118,0.339,0.4286,0.2611,0.2166,0.2166,0.2533,0.2441,0.1923,0.3397,0.319,0.3235,0.2193,0.2705,0.2373,0.1968,0.2539,0.2733,0.2706,0.3403,0.375
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.2053,0.2782,0.3164,0.3234,0.2951,0.2979,0.2124,0.2159,0.3499,0.2416,0.3333,0.3462,0.4444,0.2613,0.2053,0.2053,0.2688,0.2488,0.2857,0.3191,0.287,0.3596,0.2124,0.2624,0.225,0.2075,0.2485,0.2384,0.2895,0.3065,0.3182
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.1194,0.2405,0.2078,0.2049,0.2072,0.2113,0.0911,0.1257,0.2428,0.1409,0.2785,0.1644,0.4615,0.1128,0.1199,0.1199,0.2036,0.1536,0.0976,0.2604,0.1369,0.1916,0.1252,0.149,0.1353,0.1077,0.1477,0.1475,0.1919,0.2174,0.1852
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.1454,0.2116,0.2016,0.2429,0.1607,0.0976,0.1224,0.154,0.2421,0.1748,0.3,0.2821,0.2174,0.1656,0.146,0.146,0.184,0.1627,0.1765,0.233,0.2021,0.1951,0.149,0.1953,0.1541,0.1519,0.1818,0.1536,0.2143,0.2708,0.2353
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.1445,0.2343,0.2521,0.2179,0.2782,0.2323,0.1287,0.1434,0.3105,0.1479,0.287,0.2019,0.4048,0.1459,0.1439,0.1439,0.2457,0.1748,0.1169,0.2771,0.1957,0.2345,0.1453,0.1873,0.1673,0.116,0.1709,0.1592,0.2158,0.2552,0.2195
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.136,0.2193,0.2471,0.1923,0.2773,0.1889,0.1204,0.136,0.3009,0.1349,0.2593,0.19,0.4359,0.1164,0.1356,0.1356,0.229,0.1677,0.1159,0.2664,0.1508,0.1892,0.1369,0.1708,0.1472,0.1049,0.1658,0.1445,0.2057,0.2466,0.175
2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.1306,0.2274,0.2332,0.1923,0.2714,0.219,0.1024,0.1314,0.2877,0.1357,0.2519,0.186,0.3721,0.1293,0.1303,0.1303,0.2283,0.1562,0.1047,0.2672,0.1676,0.1985,0.1326,0.1684,0.1443,0.1081,0.1526,0.1529,0.2042,0.2357,0.1778
2016_SCIENCE_Mackay___Hobit_invitro-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.0355,0.0432,0.0332,0.0293,0.068,0.0244,0.0224,0.0263,0.0568,0.0255,0.0412,0.0341,0.0,0.0296,0.0333,0.0333,0.0344,0.0282,0.0,0.0396,0.0293,0.0354,0.0312,0.0363,0.0243,0.0238,0.0341,0.0189,0.0367,0.029,0.0323
2016_SCIENCE_Mackay___Hobit_invitro-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.0387,0.0487,0.0372,0.0406,0.0761,0.0339,0.0267,0.0286,0.0619,0.0303,0.0263,0.0317,0.0,0.0307,0.036,0.036,0.0394,0.0306,0.0,0.0345,0.0394,0.0493,0.0338,0.0361,0.0279,0.0248,0.0429,0.0155,0.0394,0.0244,0.04
2016_SCIENCE_Mackay___Hobit_invitro-CD8---2017_PNAS_Li___STAT5B_IL2-CD8,0.0766,0.0733,0.0637,0.0638,0.098,0.027,0.0676,0.0597,0.0802,0.0553,0.05,0.098,0.0,0.0492,0.0722,0.0722,0.0613,0.0707,0.0,0.0588,0.046,0.0595,0.0736,0.0534,0.0561,0.0645,0.0951,0.0377,0.0711,0.063,0.0435
2016_SCIENCE_Mackay___Hobit_invitro-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.046,0.0884,0.0845,0.072,0.1053,0.0303,0.0391,0.0497,0.1034,0.0483,0.0185,0.093,0.0,0.0327,0.0458,0.0458,0.0558,0.0591,0.0,0.0614,0.0548,0.0714,0.0454,0.0542,0.0565,0.0574,0.0909,0.041,0.0763,0.0722,0.0526
2016_SCIENCE_Mackay___Hobit_invitro-CD8---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.0211,0.0367,0.0281,0.0325,0.0659,0.0351,0.0147,0.0185,0.0605,0.0217,0.0303,0.069,0.0,0.0224,0.02,0.02,0.0218,0.02,0.0,0.0278,0.0192,0.0338,0.0205,0.0295,0.0172,0.0162,0.038,0.0142,0.0261,0.0299,0.0952
2016_SCIENCE_Mackay___Hobit_invitro-CD8---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.0613,0.101,0.1012,0.061,0.1667,0.0,0.0323,0.0657,0.1216,0.0763,0.0667,0.1739,0.0,0.0641,0.0609,0.0609,0.0896,0.069,0.0,0.069,0.0851,0.0833,0.0609,0.0769,0.0621,0.0788,0.0889,0.0781,0.1061,0.0847,0.0
